student_id,question_id,concept,difficulty,correct,time_taken,date
S001,Q0054,Algebra,Easy,0,59.6,2026-08-10
S001,Q0069,Probability,Easy,0,41.5,2026-08-11
S001,Q0066,Probability,Easy,1,57.0,2026-08-11
S001,Q0053,Algebra,Hard,1,80.6,2026-08-11
S001,Q0013,Thermodynamics,Hard,0,59.4,2026-08-14
S001,Q0043,Equilibrium,Hard,0,54.0,2026-08-14
S001,Q0017,Optics,Medium,0,68.6,2026-08-14
S001,Q0006,Laws of Motion,Easy,0,46.2,2026-08-14
S001,Q0025,Electrostatics,Medium,1,62.6,2026-08-15
S001,Q0058,Calculus,Hard,1,45.4,2026-08-20
S001,Q0046,Thermochemistry,Easy,0,55.4,2026-08-26
S001,Q0039,Organic Reactions,Easy,1,53.8,2026-08-29
S001,Q0026,Atomic Structure,Easy,0,37.1,2026-08-29
S001,Q0012,Thermodynamics,Medium,1,29.3,2026-08-30
S001,Q0030,Atomic Structure,Medium,1,38.2,2026-08-31
S001,Q0051,Algebra,Easy,0,62.9,2026-09-03
S001,Q0064,Trigonometry,Easy,1,41.1,2026-09-03
S001,Q0017,Optics,Medium,0,66.5,2026-09-04
S001,Q0018,Optics,Hard,0,49.9,2026-09-06
S001,Q0050,Thermochemistry,Medium,0,52.1,2026-09-06
S001,Q0032,Chemical Bonding,Medium,0,58.9,2026-09-07
S001,Q0021,Electrostatics,Easy,1,42.4,2026-09-07
S001,Q0065,Trigonometry,Medium,1,51.3,2026-09-07
S001,Q0006,Laws of Motion,Easy,0,34.9,2026-09-08
S001,Q0069,Probability,Easy,1,45.1,2026-09-09
S001,Q0011,Thermodynamics,Easy,0,49.6,2026-09-09
S001,Q0021,Electrostatics,Easy,1,29.9,2026-09-10
S001,Q0038,Organic Reactions,Hard,1,40.0,2026-09-12
S001,Q0059,Calculus,Easy,1,47.8,2026-09-14
S001,Q0007,Laws of Motion,Medium,0,41.1,2026-09-17
S001,Q0005,Kinematics,Medium,0,60.0,2026-09-18
S001,Q0022,Electrostatics,Medium,1,60.2,2026-09-19
S001,Q0058,Calculus,Hard,1,52.7,2026-09-20
S001,Q0010,Laws of Motion,Medium,1,60.3,2026-09-22
S002,Q0026,Atomic Structure,Easy,1,42.9,2026-08-10
S002,Q0062,Trigonometry,Medium,1,57.3,2026-08-10
S002,Q0067,Probability,Medium,1,58.5,2026-08-11
S002,Q0058,Calculus,Hard,0,63.8,2026-08-13
S002,Q0071,Coordinate Geometry,Easy,1,58.2,2026-08-13
S002,Q0034,Chemical Bonding,Easy,0,57.1,2026-08-14
S002,Q0028,Atomic Structure,Hard,0,44.3,2026-08-16
S002,Q0057,Calculus,Medium,0,70.7,2026-08-16
S002,Q0020,Optics,Medium,1,51.2,2026-08-16
S002,Q0030,Atomic Structure,Medium,0,54.2,2026-08-19
S002,Q0050,Thermochemistry,Medium,1,31.7,2026-08-22
S002,Q0045,Equilibrium,Medium,1,51.7,2026-08-23
S002,Q0062,Trigonometry,Medium,0,50.4,2026-08-26
