question_id,subject,concept,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option
Q0001,Physics,Kinematics,Easy,[Kinematics] Sample question #1 on Kinematics (Easy level).,Kinematics option A-1,Kinematics option B-1,Kinematics option C-1,Kinematics option D-1,A
Q0002,Physics,Kinematics,Medium,[Kinematics] Sample question #2 on Kinematics (Medium level).,Kinematics option A-2,Kinematics option B-2,Kinematics option C-2,Kinematics option D-2,D
Q0003,Physics,Kinematics,Hard,[Kinematics] Sample question #3 on Kinematics (Hard level).,Kinematics option A-3,Kinematics option B-3,Kinematics option C-3,Kinematics option D-3,C
Q0004,Physics,Kinematics,Easy,[Kinematics] Sample question #4 on Kinematics (Easy level).,Kinematics option A-4,Kinematics option B-4,Kinematics option C-4,Kinematics option D-4,B
Q0005,Physics,Kinematics,Medium,[Kinematics] Sample question #5 on Kinematics (Medium level).,Kinematics option A-5,Kinematics option B-5,Kinematics option C-5,Kinematics option D-5,B
Q0006,Physics,Laws of Motion,Easy,[Laws of Motion] Sample question #1 on Laws of Motion (Easy level).,Laws of Motion option A-1,Laws of Motion option B-1,Laws of Motion option C-1,Laws of Motion option D-1,D
Q0007,Physics,Laws of Motion,Medium,[Laws of Motion] Sample question #2 on Laws of Motion (Medium level).,Laws of Motion option A-2,Laws of Motion option B-2,Laws of Motion option C-2,Laws of Motion option D-2,A
Q0008,Physics,Laws of Motion,Hard,[Laws of Motion] Sample question #3 on Laws of Motion (Hard level).,Laws of Motion option A-3,Laws of Motion option B-3,Laws of Motion option C-3,Laws of Motion option D-3,C
Q0009,Physics,Laws of Motion,Easy,[Laws of Motion] Sample question #4 on Laws of Motion (Easy level).,Laws of Motion option A-4,Laws of Motion option B-4,Laws of Motion option C-4,Laws of Motion option D-4,A
Q0010,Physics,Laws of Motion,Medium,[Laws of Motion] Sample question #5 on Laws of Motion (Medium level).,Laws of Motion option A-5,Laws of Motion option B-5,Laws of Motion option C-5,Laws of Motion option D-5,A
Q0011,Physics,Thermodynamics,Easy,[Thermodynamics] Sample question #1 on Thermodynamics (Easy level).,Thermodynamics option A-1,Thermodynamics option B-1,Thermodynamics option C-1,Thermodynamics option D-1,C
Q0012,Physics,Thermodynamics,Medium,[Thermodynamics] Sample question #2 on Thermodynamics (Medium level).,Thermodynamics option A-2,Thermodynamics option B-2,Thermodynamics option C-2,Thermodynamics option D-2,D
Q0013,Physics,Thermodynamics,Hard,[Thermodynamics] Sample question #3 on Thermodynamics (Hard level).,Thermodynamics option A-3,Thermodynamics option B-3,Thermodynamics option C-3,Thermodynamics option D-3,C
Q0014,Physics,Thermodynamics,Easy,[Thermodynamics] Sample question #4 on Thermodynamics (Easy level).,Thermodynamics option A-4,Thermodynamics option B-4,Thermodynamics option C-4,Thermodynamics option D-4,D
Q0015,Physics,Thermodynamics,Medium,[Thermodynamics] Sample question #5 on Thermodynamics (Medium level).,Thermodynamics option A-5,Thermodynamics option B-5,Thermodynamics option C-5,Thermodynamics option D-5,C
Q0016,Physics,Optics,Easy,[Optics] Sample question #1 on Optics (Easy level).,Optics option A-1,Optics option B-1,Optics option C-1,Optics option D-1,D
Q0017,Physics,Optics,Medium,[Optics] Sample question #2 on Optics (Medium level).,Optics option A-2,Optics option B-2,Optics option C-2,Optics option D-2,C
Q0018,Physics,Optics,Hard,[Optics] Sample question #3 on Optics (Hard level).,Optics option A-3,Optics option B-3,Optics option C-3,Optics option D-3,A
Q0019,Physics,Optics,Easy,[Optics] Sample question #4 on Optics (Easy level).,Optics option A-4,Optics option B-4,Optics option C-4,Optics option D-4,D
Q0020,Physics,Optics,Medium,[Optics] Sample question #5 on Optics (Medium level).,Optics option A-5,Optics option B-5,Optics option C-5,Optics option D-5,B
Q0021,Physics,Electrostatics,Easy,[Electrostatics] Sample question #1 on Electrostatics (Easy level).,Electrostatics option A-1,Electrostatics option B-1,Electrostatics option C-1,Electrostatics option D-1,C
Q0022,Physics,Electrostatics,Medium,[Electrostatics] Sample question #2 on Electrostatics (Medium level).,Electrostatics option A-2,Electrostatics option B-2,Electrostatics option C-2,Electrostatics option D-2,B
Q0023,Physics,Electrostatics,Hard,[Electrostatics] Sample question #3 on Electrostatics (Hard level).,Electrostatics option A-3,Electrostatics option B-3,Electrostatics option C-3,Electrostatics option D-3,A
Q0024,Physics,Electrostatics,Easy,[Electrostatics] Sample question #4 on Electrostatics (Easy level).,Electrostatics option A-4,Electrostatics option B-4,Electrostatics option C-4,Electrostatics option D-4,D
Q0025,Physics,Electrostatics,Medium,[Electrostatics] Sample question #5 on Electrostatics (Medium level).,Electrostatics option A-5,Electrostatics option B-5,Electrostatics option C-5,Electrostatics option D-5,D
Q0026,Chemistry,Atomic Structure,Easy,[Atomic Structure] Sample question #1 on Atomic Structure (Easy level).,Atomic Structure option A-1,Atomic Structure option B-1,Atomic Structure option C-1,Atomic Structure option D-1,C
Q0027,Chemistry,Atomic Structure,Medium,[Atomic Structure] Sample question #2 on Atomic Structure (Medium level).,Atomic Structure option A-2,Atomic Structure option B-2,Atomic Structure option C-2,Atomic Structure option D-2,B
Q0028,Chemistry,Atomic Structure,Hard,[Atomic Structure] Sample question #3 on Atomic Structure (Hard level).,Atomic Structure option A-3,Atomic Structure option B-3,Atomic Structure option C-3,Atomic Structure option D-3,D
Q0029,Chemistry,Atomic Structure,Easy,[Atomic Structure] Sample question #4 on Atomic Structure (Easy level).,Atomic Structure option A-4,Atomic Structure option B-4,Atomic Structure option C-4,Atomic Structure option D-4,C
Q0030,Chemistry,Atomic Structure,Medium,[Atomic Structure] Sample question #5 on Atomic Structure (Medium level).,Atomic Structure option A-5,Atomic Structure option B-5,Atomic Structure option C-5,Atomic Structure option D-5,B
Q0031,Chemistry,Chemical Bonding,Easy,[Chemical Bonding] Sample question #1 on Chemical Bonding (Easy level).,Chemical Bonding option A-1,Chemical Bonding option B-1,Chemical Bonding option C-1,Chemical Bonding option D-1,B
Q0032,Chemistry,Chemical Bonding,Medium,[Chemical Bonding] Sample question #2 on Chemical Bonding (Medium level).,Chemical Bonding option A-2,Chemical Bonding option B-2,Chemical Bonding option C-2,Chemical Bonding option D-2,A
Q0033,Chemistry,Chemical Bonding,Hard,[Chemical Bonding] Sample question #3 on Chemical Bonding (Hard level).,Chemical Bonding option A-3,Chemical Bonding option B-3,Chemical Bonding option C-3,Chemical Bonding option D-3,A
